id,name,rating,area_genre,master_genres,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1306-A130603-13221781,近江うし 焼肉 にくTATSU 青山本店,3.58, 外苑前駅 317m / 焼肉、ホルモン、ステーキ,"[""焼肉"", ""洋食・西洋料理""]",[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13221781/,https://tblg.k-img.com/restaurant/images/Rvw/95210/95210251.jpg
tokyo-A1306-A130602-13165628,お好み たまちゃん 青山店,3.52, 表参道駅 227m / お好み焼き、居酒屋、鉄板焼き,"[""和食"", ""居酒屋""]",[0],"[2000, 2999]",https://tabelog.com/tokyo/A1306/A130602/13165628/,https://tblg.k-img.com/restaurant/images/Rvw/32094/32094568.jpg
tokyo-A1306-A130603-13215773,日本料理若林,3.51, 外苑前駅 347m / 懐石・会席料理,"[""和食""]","[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13215773/,https://tblg.k-img.com/restaurant/images/Rvw/102762/102762292.jpg
tokyo-A1306-A130603-13175709,Hostaria Casa Bella,3.56, 外苑前駅 603m / イタリアン、ステーキ、パスタ,"[""イタリアン"", ""洋食・西洋料理""]","[5000, 5999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13175709/,https://tblg.k-img.com/restaurant/images/Rvw/105996/105996556.jpg
tokyo-A1306-A130603-13033502,青山牛彩,3.55, 外苑前駅 307m / 鉄板焼き、しゃぶしゃぶ、ステーキ,"[""鍋料理"", ""洋食・西洋料理""]","[2000, 2999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13033502/,https://tblg.k-img.com/restaurant/images/Rvw/57936/57936164.jpg
tokyo-A1306-A130603-13172919,アヒリヤ 青山店,3.5, 外苑前駅 185m / インドカレー、インド料理、居酒屋・ダイニングバー（その他）,"[""カレー"", ""南アジア料理"", ""居酒屋"", ""バー""]","[0, 999]","[2000, 2999]",https://tabelog.com/tokyo/A1306/A130603/13172919/,https://tblg.k-img.com/restaurant/images/Rvw/45060/45060657.jpg
tokyo-A1306-A130602-13211615,ristorante misola,3.66, 表参道駅 222m / イタリアン、パスタ、ダイニングバー,"[""イタリアン"", ""バー""]","[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130602/13211615/,https://tblg.k-img.com/restaurant/images/Rvw/105511/105511332.jpg
tokyo-A1306-A130602-13004409,アニヴェルセル カフェ,3.56, 表参道駅 149m / フレンチ、カフェ、ワインバー,"[""フレンチ"", ""カフェ/スイーツ"", ""バー""]","[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1306/A130602/13004409/,https://tblg.k-img.com/restaurant/images/Rvw/64376/64376528.jpg
tokyo-A1306-A130601-13144629,San Francisco Peaks,3.73, 明治神宮前駅 564m / アメリカ料理、パンケーキ、ハンバーガー,"[""西洋(その他)"", ""カフェ/スイーツ"", ""洋食・西洋料理""]","[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1306/A130601/13144629/,https://tblg.k-img.com/restaurant/images/Rvw/73976/73976714.jpg
tokyo-A1306-A130603-13012956,日比谷園 青山店,3.5, 青山一丁目駅 90m / 中華料理、四川料理、居酒屋,"[""中華料理"", ""居酒屋""]","[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130603/13012956/,https://tblg.k-img.com/restaurant/images/Rvw/103569/103569543.jpg
tokyo-A1306-A130603-13035134,焼はまぐり 青山八番too,3.53, 青山一丁目駅 282m / 居酒屋、魚介料理・海鮮料理、和食（その他）,"[""居酒屋"", ""海鮮/寿司"", ""和食""]","[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13035134/,https://tblg.k-img.com/restaurant/images/Rvw/108258/108258122.jpg
tokyo-A1306-A130603-13001209,リストランテ・サバティーニ 青山,3.54, 外苑前駅 157m / イタリアン、フレンチ、ワインバー,"[""イタリアン"", ""フレンチ"", ""バー""]","[4000, 4999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13001209/,https://tblg.k-img.com/restaurant/images/Rvw/94464/94464269.jpg
tokyo-A1306-A130603-13192818,銀座 あまくさ 青山外苑,3.53, 外苑前駅 97m / 馬肉料理、鳥料理、水炊き,"[""焼き鳥"", ""鍋料理""]",[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13192818/,https://tblg.k-img.com/restaurant/images/Rvw/48659/48659941.jpg
tokyo-A1306-A130603-13101027,礼華　青鸞居,3.72, 外苑前駅 185m / 中華料理、上海料理,"[""中華料理""]","[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13101027/,https://tblg.k-img.com/restaurant/images/Rvw/40517/40517990.jpg
tokyo-A1306-A130601-13219129,レヴォル,3.76, 外苑前駅 448m / フレンチ、ワインバー、モダンフレンチ,"[""フレンチ"", ""バー""]","[6000, 7999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130601/13219129/,https://tblg.k-img.com/restaurant/images/Rvw/83876/83876948.jpg
tokyo-A1306-A130603-13182652,iCas storia,3.56, 外苑前駅 515m / イタリアン、野菜料理、イノベーティブ・フュージョン,"[""イタリアン""]",[0],"[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13182652/,https://tblg.k-img.com/restaurant/images/Rvw/101130/101130860.jpg
tokyo-A1309-A130901-13206436,bistro Tiroir,3.55, 国立競技場駅 586m / ビストロ,"[""フレンチ""]","[2000, 2999]","[6000, 7999]",https://tabelog.com/tokyo/A1309/A130901/13206436/,https://tblg.k-img.com/restaurant/images/Rvw/88405/88405189.jpg
tokyo-A1306-A130602-13124210,表参道ワイン食堂Den,3.5, 表参道駅 57m / バル・バール、ビストロ、居酒屋,"[""バー"", ""フレンチ"", ""居酒屋""]",[0],"[3000, 3999]",https://tabelog.com/tokyo/A1306/A130602/13124210/,https://tblg.k-img.com/restaurant/images/Rvw/36191/36191170.jpg
tokyo-A1306-A130603-13209817,Ysm,3.68, 外苑前駅 441m / モダンフレンチ、イノベーティブ・フュージョン、自然食,"[""フレンチ""]","[6000, 7999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13209817/,https://tblg.k-img.com/restaurant/images/Rvw/85135/85135534.jpg
tokyo-A1306-A130603-13198185,メイユー アヴニール ア トウキョウ,3.56, 外苑前駅 228m / フレンチ、洋食、バー・お酒（その他）,"[""フレンチ"", ""洋食・西洋料理"", ""バー""]","[3000, 3999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13198185/,https://tblg.k-img.com/restaurant/images/Rvw/65324/65324107.jpg
tokyo-A1306-A130603-13025789,リストランテAO 青山,3.54, 外苑前駅 250m / イタリアン、パスタ、ワインバー,"[""イタリアン"", ""バー""]","[2000, 2999]","[6000, 7999]",https://tabelog.com/tokyo/A1306/A130603/13025789/,https://tblg.k-img.com/restaurant/images/Rvw/81187/81187436.jpg
tokyo-A1306-A130603-13004578,リストランテ アクアパッツァ,3.55, 外苑前駅 175m / イタリアン、シーフード、野菜料理,"[""イタリアン"", ""海鮮/寿司""]","[4000, 4999]","[10000, 14999]",https://tabelog.com/tokyo/A1306/A130603/13004578/,https://tblg.k-img.com/restaurant/images/Rvw/108461/108461819.jpg
tokyo-A1306-A130603-13049640,モンテ アスル,3.67, 外苑前駅 183m / スペイン料理、バイキング、ワインバー,"[""スペイン料理"", ""バー""]","[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13049640/,https://tblg.k-img.com/restaurant/images/Rvw/112324/112324292.jpg
tokyo-A1306-A130602-13005336,ニド・カフェ,3.58, 表参道駅 126m / ビストロ、カフェ、ケーキ,"[""フレンチ"", ""カフェ/スイーツ""]","[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13005336/,https://tblg.k-img.com/restaurant/images/Rvw/84629/84629685.jpg
tokyo-A1306-A130602-13156527,La CHIARA,3.53, 表参道駅 38m / イタリアン、パスタ、ビストロ,"[""イタリアン"", ""フレンチ""]","[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130602/13156527/,https://tblg.k-img.com/restaurant/images/Rvw/94748/94748302.jpg
tokyo-A1306-A130603-13225589,THE BURN,3.51, 青山一丁目駅 47m / ステーキ、洋食、アメリカ料理,"[""洋食・西洋料理"", ""西洋(その他)""]","[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13225589/,https://tblg.k-img.com/restaurant/images/Rvw/100941/100941380.jpg
tokyo-A1307-A130701-13014224,肉匠なか田,3.68, 乃木坂駅 637m / 焼肉、ステーキ、ホルモン,"[""焼肉"", ""洋食・西洋料理""]",[0],"[15000, 19999]",https://tabelog.com/tokyo/A1307/A130701/13014224/,https://tblg.k-img.com/restaurant/images/Rvw/83007/83007469.jpg
tokyo-A1306-A130602-13023635,ブラッセリートゥール,3.51, 表参道駅 50m / ビストロ、フレンチ、ワインバー,"[""フレンチ"", ""バー""]","[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130602/13023635/,https://tblg.k-img.com/restaurant/images/Rvw/101520/101520124.jpg
tokyo-A1306-A130603-13059958,"Terres de Truffes, Tokyo",3.71, 外苑前駅 136m / フレンチ、洋食、西洋各国料理（その他）,"[""フレンチ"", ""洋食・西洋料理"", ""西洋(その他)""]","[5000, 5999]","[15000, 19999]",https://tabelog.com/tokyo/A1306/A130603/13059958/,https://tblg.k-img.com/restaurant/images/Rvw/101076/101076838.jpg
tokyo-A1306-A130603-13121942,セントベーネ,3.53, 外苑前駅 309m / イタリアン、パスタ、バル・バール,"[""イタリアン"", ""バー""]","[1000, 1999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13121942/,https://tblg.k-img.com/restaurant/images/Rvw/63560/63560221.jpg
tokyo-A1306-A130603-13025995,焼鳥今井,3.85, 外苑前駅 384m / 焼鳥、和食（その他）、ワインバー,"[""焼き鳥"", ""和食"", ""バー""]",[0],"[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13025995/,https://tblg.k-img.com/restaurant/images/Rvw/88169/88169912.jpg
tokyo-A1306-A130603-13120307,木ノ下,3.52, 外苑前駅 315m / 魚介料理・海鮮料理、懐石・会席料理、バー,"[""海鮮/寿司"", ""和食"", ""バー""]",[0],"[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13120307/,https://tblg.k-img.com/restaurant/images/Rvw/97026/97026021.jpg
tokyo-A1306-A130602-13007408,レッドペッパー 表参道店,3.57, 表参道駅 43m / ビストロ、洋食、パスタ,"[""フレンチ"", ""洋食・西洋料理"", ""イタリアン""]","[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1306/A130602/13007408/,https://tblg.k-img.com/restaurant/images/Rvw/34935/34935341.jpg
tokyo-A1306-A130603-13001202,ピッツェリア・サバティーニ 青山,3.65, 外苑前駅 157m / イタリアン、西洋各国料理（その他）、パスタ,"[""イタリアン"", ""西洋(その他)""]","[2000, 2999]","[5000, 5999]",https://tabelog.com/tokyo/A1306/A130603/13001202/,https://tblg.k-img.com/restaurant/images/Rvw/89880/89880876.jpg
tokyo-A1306-A130603-13115715,葉山庵Tokyo,3.66, 外苑前駅 209m / フレンチ,"[""フレンチ""]","[2000, 2999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13115715/,https://tblg.k-img.com/restaurant/images/Rvw/24680/24680460.jpg
