id,name,rating,genre,lunch_budget,dinner_budget,redirect_url,thumbnail_image_url
tokyo-A1308-A130803-13198525,エル・フエゴ・デル・トロ,3.51, 永田町駅 188m / スペイン料理、ステーキ、ダイニングバー,"[3000, 3999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130803/13198525/,https://tblg.k-img.com/restaurant/images/Rvw/59377/59377477.jpg
tokyo-A1308-A130801-13002798,モティ 赤坂ＴＢＳ前店,3.54, 赤坂駅 107m / インド料理、インドカレー,"[1000, 1999]","[3000, 3999]",https://tabelog.com/tokyo/A1308/A130801/13002798/,https://tblg.k-img.com/restaurant/images/Rvw/70916/70916265.jpg
tokyo-A1308-A130801-13194839,ホルモン松田,3.53, 赤坂見附駅 40m / 焼肉、ホルモン,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13194839/,https://tblg.k-img.com/restaurant/images/Rvw/57278/57278698.jpg
tokyo-A1308-A130801-13015222,味鉄 東京赤坂店,3.55, 赤坂駅 209m / 焼肉、ステーキ、しゃぶしゃぶ,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1308/A130801/13015222/,https://tblg.k-img.com/restaurant/images/Rvw/83138/83138400.jpg
tokyo-A1308-A130801-13191917,ワイン食堂 ＴＡＫＥＷＡＫＡ,3.51, 赤坂駅 155m / ビストロ、イタリアン、居酒屋,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13191917/,https://tblg.k-img.com/restaurant/images/Rvw/93420/93420853.jpg
tokyo-A1308-A130801-13221147,sanmi,3.53, 赤坂見附駅 125m / イノベーティブ・フュージョン、モダンフレンチ、ワインバー,[0],"[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13221147/,https://tblg.k-img.com/restaurant/images/Rvw/108825/108825665.jpg
tokyo-A1308-A130801-13133855,松尾ジンギスカン 赤坂店,3.56, 赤坂駅 249m / ジンギスカン、焼肉、居酒屋・ダイニングバー（その他）,"[1000, 1999]","[4000, 4999]",https://tabelog.com/tokyo/A1308/A130801/13133855/,https://tblg.k-img.com/restaurant/images/Rvw/70409/70409191.jpg
tokyo-A1308-A130801-13163109,阿吽亭,3.5, 赤坂見附駅 145m / 居酒屋、魚介料理・海鮮料理、日本酒バー,"[0, 999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130801/13163109/,https://tblg.k-img.com/restaurant/images/Rvw/44419/44419092.jpg
tokyo-A1308-A130802-13033976,赤坂 三河家,3.55, 赤坂駅 179m / 懐石・会席料理、かに、割烹・小料理,"[1000, 1999]","[6000, 7999]",https://tabelog.com/tokyo/A1308/A130802/13033976/,https://tblg.k-img.com/restaurant/images/Rvw/84645/84645311.jpg
tokyo-A1306-A130603-13002849,ラ･スコリエーラ,3.75, 赤坂駅 504m / イタリアン、シーフード,"[1000, 1999]","[8000, 9999]",https://tabelog.com/tokyo/A1306/A130603/13002849/,https://tblg.k-img.com/restaurant/images/Rvw/82748/82748780.jpg
